"zip","year","pm25_ensemble","mean_bmi","smoke_rate","hispanic","pct_blk","medhouseholdincome","medianhousevalue","poverty","education","pct_owner_occ","summer_tmmx","winter_tmmx","summer_rmax","winter_rmax","pm25","ozone","br","ca","cu","ec","fe","k","nh4","ni","no3","oc","pb","si","so4","v","z","death_rate","female_percentage","dual_percentage","mean_age","percentage_race_labelAsian","percentage_race_labelBlack","percentage_race_labelOther","percentage_race_labelWhite","percentage_race_labelHispanic","percentage_race_labelNorth_American_Native","anemia_rate","ami_rate","alzh_rate","alzhdmta_rate","atrialfb_rate","cataract_rate","chrnkidn_rate","copd_rate","chf_rate","diabetes_rate","stroke_rate","breastCancer_rate","colorectalCancer_rate","prostateCancer_rate","lungCancer_rate","endometrialCancer_rate","hyperp_rate","glaucoma_rate","hipfrac_rate","ischmcht_rate","depressn_rate","osteoprs_rate","ra_oa_rate","asthma_rate","hyperl_rate","hypert_rate","hypoth_rate"
28581,2001,8.22006601105394,26.359126984127,0.517211328976035,0.0479188157546184,0.000312798741329478,41664.75,109900,0.0518146042850896,0.0691668538064226,0.777777777777778,303.268324211643,277.807830534841,88.6353612970386,86.4141624026828,13.300173667864,38.1661183029506,2.65242149686084,38.8296827702126,3.90563028455783,0.31087459777798,28.9959880424625,36.2745723096065,1.68864080850985,0.0733916331038406,0.506637952221819,2.24310521456694,0.90133561058686,83.1449673390311,2.8898776709349,0.585297166182215,12.5934386524824,3.10077519379845,54.7215496368039,44.3298969072165,75.9473018549747,2.17809096732864,6.05381165919283,1.01232394366197,92.1052631578947,0,0,58.0838323353293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49807,2001,9.04197743127162,28.5649348659004,0.383333333333333,0.00589501142406957,0.0489931934203063,49553,85400,0.0761595489678393,0,0.831377661886137,297.192417236205,287.017589963967,97.2731584713504,95.2856113308079,21.5583239798171,42.2134256744454,3.14558991527556,35.787343270315,0.574745119393447,1.10238106324673,26.2466616567621,54.2695757245263,0.276429454701768,0.137908816796275,1.73431935794314,1.23458161836003,0.908596008044016,125.599777462395,0.948756392350131,0.422564574748142,4.56638643078903,4.78821362799263,42.8571428571429,4.76878612716763,75.1890243902439,2.32323232323232,11.5274803711635,2.74963820549928,95.5043132050431,0,0,43.7689969604863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73901,2001,15.1171174141892,28.5123337091319,0.433716475095785,0.0182607455886891,0.00124135656997662,51546.6666666667,84070.955165692,0.126679462571977,0.604895104895104,0.9019833053008,302.417745062737,278.924213663737,85.0214596015985,81.3307429107122,10.7739561148491,46.5163735724239,2.173594908096,32.3064421042867,0.864097392109322,0.276904380693751,69.5283770390558,44.9743992408469,1.21412824634283,0.509364917786186,1.14887495129395,1.33484529088247,3.32510229686957,105.596378400132,3.57827342161979,0.544801123102347,17.4972041291941,2.08333333333333,56.3672260612043,11.6822429906542,76.8798168637924,3.53982300884956,0,0,51.1081262592344,0,0.203045685279188,48.8076311605723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91911,2001,13.803689445974,27.345,0.381381381381381,0.0491438286847751,0,35713.0606060606,119500,0.0930181028839418,0.186317447175919,0.853190373971231,307.460262367368,277.494468264995,84.772343656691,90.5089087433868,10.7796160312191,38.616336384952,2.84634997522049,133.062275242132,6.03052498965005,0.663862058084292,104.500541036664,63.2107372417026,1.42066845748921,0.208786709936797,0.852246236095313,1.57831209947461,0.508329392029354,261.64610292981,2.08150706689875,0.889776830534135,7.93284090431121,4.54545454545455,48.5436893203884,8.48318172202242,75.3812242308912,0.260078023407022,5,0,92.9411764705882,0.195530726256983,0,69.7410268059973,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11214,2001,12.4260403076147,26.5129310344828,0.412333736396614,0.00762195121951219,0,40792.3798449612,81100,0,0.153785539451069,0.826713561145305,314.200151086162,277.226475436615,64.9517687092657,90.0935563472775,5.09268488780833,38.1876756182168,1.58144904104925,21.7949897910288,0.787293664147468,0.425522741913622,86.6263540547961,62.7271240720867,0.951231964318852,0.0480456636862931,0.124324887359919,0.791240824662916,1.22887437336888,108.680330654483,2.63561365774237,0.412619338925423,10.4348443439729,6.72727272727273,48.9795918367347,2.95833333333333,76.65,0,0,0,85.6825749167592,0,0.0207425845260319,71.3646532438479,0,0,0,0,0,16.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99102,2001,11.8936931651732,28.0666030476784,0.414191419141914,0.0994318181818182,0,64677,54300,0.0870649988847287,0.188679245283019,0.687683284457478,304.712113910802,275.516912278283,94.4899551107057,87.8267337234324,18.2455790771804,35.7588347116121,2.98430228856591,36.3433672326756,0.790322115191583,0.446455966690561,23.2271552024174,47.845767903223,0.782493859754518,1.10848022042822,0.954247989644636,1.37607564691199,1.84616181946883,76.2191749477541,4.45310951158477,0.201911398902647,8.22564205491337,3.64963503649635,61.6828478964401,4.71512770137525,73.7972440944882,0,52.0592318371124,0,86.8335146898803,0,0,9.61538461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20792,2001,7.09359608932399,27.1704864433812,0.376984126984127,0.0117302052785924,0.010241871301388,40778,85755.5555555556,0.1010422577274,0.215750371471025,0.709639806237227,307.071703318066,287.498433088182,90.0337650908567,93.4909827667206,8.83567849884282,34.3158330131513,2.95219058208707,23.2152961878149,2.24180086450603,0.323777599682462,90.577918838773,62.6719016440122,0.20778620607074,0.530389961539991,1.27137467608964,2.1965986764902,3.05798581802754,49.6963020362258,2.30829017273049,0.834711880136994,6.28894830305073,4.27927927927928,60,3.92156862745098,74.3672316384181,0,0,0,96.7741935483871,0,0.588837685611879,55.5555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30732,2001,12.6077278757013,27.9400714285714,0.369812583668005,0.444633730834753,0.0107858645585337,36328,151366.666666667,0.0745428973277075,0.0394315452361889,0.909467134200342,299.354233508902,285.823156335852,92.3749236951161,82.1513399832968,10.0181939654532,35.2195080037284,1.58137273229242,28.9312701039781,1.34391344080644,0.723921186730901,69.1816863763063,50.5290157369744,0.0924943998172897,0.101527751732182,0.956963809689039,1.26640187552475,1.36342385067544,96.0026757839392,4.72879489382562,0.572209984110241,3.81894412983907,3.96825396825397,53.6423841059603,13.8996138996139,75.5,2.38602471239881,0,3,100,0.119047619047619,0,49.6993987975952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52162,2001,8.81689962795791,30.3122222222222,0.6,0,0.00163876547133981,34080,53403.0303030303,0.0654450261780105,0.999511957052221,0.794659300184162,305.692755228711,287.699735518805,89.2541971621306,92.8126292805096,11.9609911339695,37.0805570400965,3.19994260633425,17.9403572310086,2.7693777573928,0.567708465593299,45.3793351313049,84.3731499386112,1.03728740699113,0.0463526859558837,0.367914780506855,1.03350051896193,1.82245742325385,58.9591941385486,1.75413303851902,1.34291246305766,6.62512447107484,6.42085187539733,52.6439482961222,6.69387755102041,76.0396510705789,0,0,0.645161290322581,95.3333333333333,0,0.0538068334678504,39.6731054977712,0,0,0,0,0,0,0,0,5.55555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79941,2001,9.41800606367926,27.9425745289149,0.266666666666667,0.617268576172686,0.0137262032921137,60511.8440545809,127375,0.0963302504288083,0.0817521154803385,0.92,306.859919340714,285.896241703361,92.2174578096575,84.6190754784478,7.06589855586777,40.233367952637,2.97720149685386,29.5070665757701,3.55750042530975,0.311854009566531,78.8271479844502,43.9061703689289,0.557969030357524,0.287609829748804,0.613792222103948,0.955410977785629,1.52784257360267,95.663009025361,2.69177180067383,0.398676882557416,8.17040071497131,7.33333333333333,58.891454965358,11.860718171926,74.7109375,0,13.5151155898044,1.29956681106298,98.2178217821782,0,0,61.7845117845118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
